Accuracy,BalancedAccuracy,Recall,CohenKappa,Precision,GeometricMean,F1,Demographic_Parity,Disparate_Impact,Equal_Opportunity,Equalized_FPR,IndividualFairness,time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,0.0,2026-03-11 13:08:10.470303
0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,inf,inf,0.0,2026-03-11 13:08:10.470833
0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,1.0,0.0,0.5,1.0,1.0,1.0,inf,0.0,2026-03-11 13:08:10.471460
0.25,0.16666666666666666,0.3333333333333333,-0.5,0.5,0.0,0.4,1.0,1.0,1.0,inf,0.0,2026-03-11 13:08:10.472132
0.4,0.25,0.5,-0.36363636363636376,0.6666666666666666,0.0,0.5714285714285715,0.6666666666666667,0.6666666666666667,0.6666666666666667,inf,0.0,2026-03-11 13:08:10.475828
0.5,0.3,0.6,-0.28571428571428586,0.75,0.0,0.6666666666666665,0.5,0.5,0.5,inf,0.0,2026-03-11 13:08:10.476597
0.5714285714285714,0.3333333333333333,0.6666666666666666,-0.23529411764705913,0.8,0.0,0.7272727272727272,0.4,0.4,0.4,inf,0.0,2026-03-11 13:08:10.477418
0.5,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.4,0.4,0.4,inf,0.0,2026-03-11 13:08:10.481325
0.5555555555555556,0.35714285714285715,0.7142857142857143,-0.2857142857142857,0.7142857142857143,0.0,0.7142857142857143,0.4,0.4,0.4,inf,0.0,2026-03-11 13:08:10.482404
0.6,0.375,0.75,-0.2500000000000007,0.75,0.0,0.75,0.33333333333333337,0.33333333333333337,0.33333333333333337,inf,0.0,2026-03-11 13:08:10.483579
0.6363636363636364,0.3888888888888889,0.7777777777777778,-0.22222222222222268,0.7777777777777778,0.0,0.7777777777777778,0.2857142857142857,0.2857142857142857,0.2857142857142857,inf,0.0,2026-03-11 13:08:10.487856
0.6666666666666666,0.4,0.8,-0.20000000000000057,0.8,0.0,0.8000000000000002,0.2857142857142857,0.2857142857142857,0.2857142857142857,inf,0.0,2026-03-11 13:08:10.489217
0.6923076923076923,0.4090909090909091,0.8181818181818182,-0.1818181818181819,0.8181818181818182,0.0,0.8181818181818182,0.25,0.25,0.25,inf,0.0,2026-03-11 13:08:10.493598
0.7142857142857143,0.4166666666666667,0.8333333333333334,-0.16666666666666635,0.8333333333333334,0.0,0.8333333333333334,0.2222222222222222,0.2222222222222222,0.2222222222222222,inf,0.0,2026-03-11 13:08:10.495663
0.7333333333333333,0.4230769230769231,0.8461538461538461,-0.1538461538461544,0.8461538461538461,0.0,0.8461538461538461,0.19999999999999996,0.19999999999999996,0.19999999999999996,inf,0.0,2026-03-11 13:08:10.500441
0.75,0.42857142857142855,0.8571428571428571,-0.14285714285714285,0.8571428571428571,0.0,0.8571428571428571,0.18181818181818177,0.18181818181818177,0.18181818181818177,inf,0.0,2026-03-11 13:08:10.505238
0.7647058823529411,0.43333333333333335,0.8666666666666667,-0.1333333333333332,0.8666666666666667,0.0,0.8666666666666667,0.16666666666666663,0.16666666666666663,0.16666666666666663,inf,0.0,2026-03-11 13:08:10.507059
0.7777777777777778,0.4375,0.875,-0.125,0.875,0.0,0.875,0.16666666666666663,0.16666666666666663,0.16666666666666663,inf,0.0,2026-03-11 13:08:10.512053
0.7894736842105263,0.4411764705882353,0.8823529411764706,-0.11764705882352948,0.8823529411764706,0.0,0.8823529411764706,0.16666666666666663,0.16666666666666663,0.16666666666666663,inf,0.0,2026-03-11 13:08:10.517719
0.8,0.4444444444444444,0.8888888888888888,-0.11111111111111124,0.8888888888888888,0.0,0.8888888888888888,0.16666666666666663,0.16666666666666663,0.16666666666666663,inf,0.0,2026-03-11 13:08:10.519789
0.8095238095238095,0.4473684210526316,0.8947368421052632,-0.10526315789473745,0.8947368421052632,0.0,0.8947368421052632,0.16666666666666663,0.16666666666666663,0.16666666666666663,inf,0.0,2026-03-11 13:08:10.599939
0.8181818181818182,0.45,0.9,-0.09999999999999892,0.9,0.0,0.9,0.16666666666666663,0.16666666666666663,0.16666666666666663,inf,0.0,2026-03-11 13:08:10.604026
0.8260869565217391,0.4523809523809524,0.9047619047619048,-0.09523809523809394,0.9047619047619048,0.0,0.9047619047619048,0.15384615384615385,0.15384615384615385,0.15384615384615385,inf,0.0,2026-03-11 13:08:10.605210
0.8333333333333334,0.45454545454545453,0.9090909090909091,-0.09090909090908979,0.9090909090909091,0.0,0.9090909090909091,0.15384615384615385,0.15384615384615385,0.15384615384615385,inf,0.0,2026-03-11 13:08:10.609408
0.84,0.45652173913043476,0.9130434782608695,-0.08695652173913067,0.9130434782608695,0.0,0.9130434782608695,0.1428571428571429,0.1428571428571429,0.1428571428571429,inf,0.0,2026-03-11 13:08:10.610621
0.8461538461538461,0.4583333333333333,0.9166666666666666,-0.08333333333333463,0.9166666666666666,0.0,0.9166666666666666,0.1333333333333333,0.1333333333333333,0.1333333333333333,inf,0.0,2026-03-11 13:08:10.611883
0.8518518518518519,0.46,0.92,-0.08000000000000078,0.92,0.0,0.92,0.1333333333333333,0.1333333333333333,0.1333333333333333,inf,0.0,2026-03-11 13:08:10.616266
0.8214285714285714,0.46,0.92,-0.09375000000000121,0.8846153846153846,0.0,0.9019607843137256,0.125,0.125,0.1333333333333333,0.0,0.0,2026-03-11 13:08:10.617623
0.8275862068965517,0.46153846153846156,0.9230769230769231,-0.09022556390977474,0.8888888888888888,0.0,0.9056603773584906,0.125,0.125,0.1333333333333333,0.0,0.0,2026-03-11 13:08:10.622062
0.8333333333333334,0.46296296296296297,0.9259259259259259,-0.08695652173913107,0.8928571428571429,0.0,0.9090909090909091,0.125,0.125,0.1333333333333333,0.0,0.0,2026-03-11 13:08:10.623582
0.8387096774193549,0.4642857142857143,0.9285714285714286,-0.08391608391608388,0.896551724137931,0.0,0.912280701754386,0.11764705882352944,0.11764705882352944,0.125,0.0,0.0,2026-03-11 13:08:10.628173
0.84375,0.46551724137931033,0.9310344827586207,-0.08108108108108109,0.9,0.0,0.9152542372881356,0.11111111111111116,0.11111111111111116,0.11764705882352944,0.0,0.0,2026-03-11 13:08:10.639726
0.8484848484848485,0.4666666666666667,0.9333333333333333,-0.07843137254901962,0.9032258064516129,0.0,0.9180327868852459,0.10526315789473684,0.10526315789473684,0.11111111111111116,0.0,0.0,2026-03-11 13:08:10.641832
0.8529411764705882,0.46774193548387094,0.9354838709677419,-0.07594936708860708,0.90625,0.0,0.9206349206349206,0.10526315789473684,0.10526315789473684,0.11111111111111116,0.0,0.0,2026-03-11 13:08:10.647030
0.8571428571428571,0.46875,0.9375,-0.07361963190184051,0.9090909090909091,0.0,0.923076923076923,0.09999999999999998,0.09999999999999998,0.10526315789473684,0.0,0.0,2026-03-11 13:08:10.651145
0.8611111111111112,0.4696969696969697,0.9393939393939394,-0.07142857142857088,0.9117647058823529,0.0,0.9253731343283583,0.09523809523809523,0.09523809523809523,0.09999999999999998,0.0,0.0,2026-03-11 13:08:10.656387
